更新时间,#genre#
2026-03-17 19:57:49,http://m.m3u8.wifiwx.com/live/wifiwx-494.m3u8
央视频道,#genre#
CCTV1,http://221.226.51.220:50081/newlive/live/hls/1/live.m3u8
CCTV1,http://58.57.40.22:9901/tsfile/live/0001_1.m3u8
CCTV1,http://8.138.7.223/tv/cctv1.m3u8
CCTV1,http://183.11.239.36:808/hls/19/index.m3u8
CCTV1,http://61.162.52.6:8088/newlive/live/hls/1/live.m3u8
CCTV1,http://60.13.52.236:65500/newlive/live/hls/1/live.m3u8
CCTV1,http://112.123.206.32:808/hls/1/index.m3u8
CCTV1,http://120.40.39.246:352/newlive/live/hls/1/live.m3u8
CCTV1,https://t.freetv.fun/live/cctv1.m3u8
CCTV1,http://play.kankanlive.com/live/1661761962676984.m3u8
cctv-1,https://t.freetv.fun/live/cctv1-2.m3u8
cctv-1,https://t.freetv.fun/live/cctv-1hd.m3u8
CCTV2,http://112.46.85.60:8009/hls/502/index.m3u8
CCTV2,http://120.76.248.139/live/bfgd/4200000061.m3u8
CCTV2,http://60.13.52.236:65500/newlive/live/hls/2/live.m3u8
CCTV2,http://221.226.51.220:50081/newlive/live/hls/2/live.m3u8
CCTV2,https://t.freetv.fun/live/cctv2-2.m3u8
CCTV2,https://t.freetv.fun/live/cctv2-7.m3u8
CCTV2,http://183.11.239.36:808/hls/20/index.m3u8
CCTV2,https://t.freetv.fun/live/cctv2.m3u8
CCTV2,https://t.freetv.fun/live/cctv2-1.php
CCTV3,http://gmxw.7766.org:808/hls/91/index.m3u8
CCTV3,https://t.freetv.fun/live/cctv3-2.m3u8
CCTV3,http://183.11.239.36:808/hls/91/index.m3u8
CCTV3,https://t.freetv.fun/live/cctv3-10.m3u8
CCTV3,https://t.freetv.fun/live/cctv3-9.m3u8
CCTV3,https://t.freetv.fun/live/cctv3-3.m3u8
CCTV3,http://120.76.248.139/live/bfgd/4200000062.m3u8
CCTV3,https://t.freetv.fun/live/cctv3-12.m3u8
CCTV3,http://221.226.51.220:50081/newlive/live/hls/3/live.m3u8
CCTV3,https://t.freetv.fun/live/cctv3-1.m3u8
CCTV4,http://74.91.26.218:82/live/cctv4hd.m3u8
CCTV4,https://t.freetv.fun/live/cctv4.m3u8
CCTV4,http://183.11.239.36:808/hls/77/index.m3u8
CCTV4,https://t.freetv.fun/live/cctv-4hd.m3u8
CCTV4,https://t.freetv.fun/live/cctv4-3.php
CCTV4,http://183.11.239.36:808/hls/22/index.m3u8
CCTV4,https://t.freetv.fun/live/cctv4-1.php
CCTV4,http://120.40.39.246:352/newlive/live/hls/4/live.m3u8
CCTV4,http://61.162.52.6:8088/newlive/live/hls/4/live.m3u8
CCTV4,https://t.freetv.fun/live/cctv4-2.php
CCTV5,https://t.freetv.fun/live/cctv5-4.php
CCTV5,http://120.40.39.246:352/newlive/live/hls/5/live.m3u8
CCTV5,http://120.76.248.139/live/bfgd/4200000064.m3u8
CCTV5,https://t.freetv.fun/live/cctv5.m3u8
CCTV5,https://t.freetv.fun/live/cctv5-1.m3u8
CCTV5,https://t.freetv.fun/live/cctv5-2.php
CCTV5,https://t.freetv.fun/live/cctv-5hd.m3u8
CCTV5,http://60.13.52.236:65500/newlive/live/hls/5/live.m3u8
CCTV5,http://61.162.52.6:8088/newlive/live/hls/5/live.m3u8
CCTV5,https://t.freetv.fun/live/cctv5-6.m3u8
CCTV5,http://223.112.114.228:50080/newlive/live/hls/180/live.m3u8
CCTV5,http://107.150.60.122/live/cctv5p.m3u8
CCTV5,https://t.freetv.fun/live/cctv-5-plus.m3u8
CCTV5,http://120.76.248.139/live/bfgd/4200000246.m3u8
CCTV5,https://t.freetv.fun/live/cctv5-plus-2.php
CCTV5,https://t.freetv.fun/live/cctv5-plus-5.m3u8
CCTV5,http://61.162.52.6:8088/newlive/live/hls/6/live.m3u8
CCTV5,http://58.57.40.22:9901/tsfile/live/1005_1.m3u8
CCTV5,http://120.40.39.246:352/newlive/live/hls/6/live.m3u8
CCTV5,http://74.91.26.218:82/live/cctv5p.m3u8
CCTV6,http://218.3.138.25:1111/tsfile/live/1005_1.m3u8
CCTV6,http://182.150.23.74:808/hls/6/index.m3u8
CCTV6,http://61.162.52.6:8088/newlive/live/hls/7/live.m3u8
CCTV6,https://t.freetv.fun/live/cctv6-1.php
CCTV6,http://183.11.239.36:808/hls/94/index.m3u8
CCTV6,http://120.76.248.139/live/bfgd/4200000065.m3u8
CCTV6,http://120.40.39.246:352/newlive/live/hls/7/live.m3u8
CCTV6,https://t.freetv.fun/live/cctv6-3.php
CCTV6,https://t.freetv.fun/live/cctv6.php
CCTV6,http://58.57.40.22:9901/tsfile/live/1006_1.m3u8
CCTV7,https://t.freetv.fun/live/cctv7-4.php
CCTV7,https://t.freetv.fun/live/cctv7-2.m3u8
CCTV7,http://58.57.40.22:9901/tsfile/live/1007_1.m3u8
CCTV7,http://8.138.7.223/tv/cctv7.m3u8
CCTV7,http://120.40.39.246:352/newlive/live/hls/8/live.m3u8
CCTV7,http://221.226.51.220:50081/newlive/live/hls/7/live.m3u8
CCTV7,https://t.freetv.fun/live/cctv7-3.m3u8
CCTV7,http://183.11.239.36:808/hls/25/index.m3u8
CCTV7,http://120.76.248.139/live/bfgd/4200000127.m3u8
CCTV8,http://221.226.51.220:50081/newlive/live/hls/8/live.m3u8
CCTV8,http://58.57.40.22:9901/tsfile/live/1008_1.m3u8
CCTV8,http://gmxw.7766.org:808/hls/96/index.m3u8
CCTV8,http://183.11.239.36:808/hls/96/index.m3u8
CCTV8,https://t.freetv.fun/live/cctv8-2.m3u8
CCTV8,http://120.40.39.246:352/newlive/live/hls/9/live.m3u8
CCTV8,http://120.76.248.139/live/bfgd/4200000066.m3u8
CCTV8,https://t.freetv.fun/live/cctv8.php
CCTV8,https://t.freetv.fun/live/cctv8-4.php
CCTV8,http://61.162.52.6:8088/newlive/live/hls/9/live.m3u8
CCTV9,https://t.freetv.fun/live/cctv9.m3u8
CCTV9,http://221.226.51.220:50081/newlive/live/hls/9/live.m3u8
CCTV9,http://120.76.248.139/live/bfgd/4200000128.m3u8
CCTV9,https://t.freetv.fun/live/cctv9-2.m3u8
CCTV9,http://120.40.39.246:352/newlive/live/hls/10/live.m3u8
CCTV9,http://60.13.52.236:65500/newlive/live/hls/9/live.m3u8
CCTV9,http://61.162.52.6:8088/newlive/live/hls/10/live.m3u8
CCTV9,https://t.freetv.fun/live/cctv-9hd.m3u8
CCTV9,http://58.57.40.22:9901/tsfile/live/1009_1.m3u8
CCTV9,http://74.91.26.218:82/live/cctv9hd.m3u8
CCTV10,https://piccpndali.v.myalicdn.com/audio/cctv10_2.m3u8
CCTV10,http://120.76.248.139/live/bfgd/4200000129.m3u8
CCTV10,http://60.13.52.236:65500/newlive/live/hls/10/live.m3u8
